  Principal QN n  Azimuthal QN l
               1               0
 Electron Energy Probability dst
  0.10664122E+04  0.11246113E-11
  0.11095049E+04  0.96914806E-12
  0.11543390E+04  0.83430973E-12
  0.12009847E+04  0.71733322E-12
  0.12495154E+04  0.61616454E-12
  0.13000071E+04  0.52861259E-12
  0.13525391E+04  0.45305337E-12
  0.14071939E+04  0.38783335E-12
  0.14640573E+04  0.33169773E-12
  0.15232185E+04  0.28338324E-12
  0.15847703E+04  0.24189119E-12
  0.16488093E+04  0.20624781E-12
  0.17154361E+04  0.17568878E-12
  0.17847553E+04  0.14951330E-12
  0.18568755E+04  0.12711941E-12
  0.19319101E+04  0.10799202E-12
  0.20099768E+04  0.91657217E-13
  0.20911980E+04  0.77726609E-13
  0.21757013E+04  0.65855158E-13
  0.22636193E+04  0.55746936E-13
  0.23550900E+04  0.47151152E-13
  0.24502570E+04  0.39844547E-13
  0.25492695E+04  0.33637899E-13
  0.26522831E+04  0.28379477E-13
  0.27594593E+04  0.23927451E-13
  0.28709664E+04  0.20153493E-13
  0.29869795E+04  0.16962566E-13
  0.31076805E+04  0.14262908E-13
  0.32332589E+04  0.11979962E-13
  0.33639118E+04  0.10057669E-13
  0.34998442E+04  0.84395800E-14
  0.36412696E+04  0.70747372E-14
  0.37884098E+04  0.59232938E-14
  0.39414959E+04  0.49556573E-14
  0.41007680E+04  0.41445036E-14
  0.42664761E+04  0.34626768E-14
  0.44388803E+04  0.28906357E-14
  0.46182512E+04  0.24127723E-14
  0.48048704E+04  0.20109485E-14
  0.49990306E+04  0.16760304E-14
  0.52010367E+04  0.13948885E-14
  0.54112056E+04  0.11602874E-14
  0.56298673E+04  0.96466003E-15
  0.58573648E+04  0.80232957E-15
  0.60940554E+04  0.66605025E-15
