#  Principal QN n  Azimuthal QN l
#               1               0
# Electron Energy Probability dst
  0.25302803E+03  0.15698608E-11
  0.26457513E+03  0.15556491E-11
  0.27664920E+03  0.15410481E-11
  0.28927427E+03  0.15260458E-11
  0.30247550E+03  0.15106277E-11
  0.31627917E+03  0.14947812E-11
  0.33071278E+03  0.14785034E-11
  0.34580508E+03  0.14617934E-11
  0.36158613E+03  0.14446498E-11
  0.37808736E+03  0.14270577E-11
  0.39534163E+03  0.14089847E-11
  0.41338331E+03  0.13903920E-11
  0.43224834E+03  0.13712671E-11
  0.45197428E+03  0.13516202E-11
  0.47260044E+03  0.13314667E-11
  0.49416788E+03  0.13108246E-11
  0.51671956E+03  0.12897126E-11
  0.54030041E+03  0.12681457E-11
  0.56495738E+03  0.12461028E-11
  0.59073959E+03  0.12235426E-11
  0.61769839E+03  0.12004230E-11
  0.64588748E+03  0.11767866E-11
  0.67536299E+03  0.11527219E-11
  0.70618363E+03  0.11282552E-11
  0.73841080E+03  0.11033822E-11
  0.77210867E+03  0.10781022E-11
  0.80734438E+03  0.10524605E-11
  0.84418808E+03  0.10265034E-11
  0.88271317E+03  0.10002401E-11
  0.92299639E+03  0.97367277E-12
  0.96511795E+03  0.94684524E-12
  0.10091618E+04  0.91982483E-12
  0.10552155E+04  0.89263376E-12
  0.11033710E+04  0.86528345E-12
  0.11537241E+04  0.83781576E-12
  0.12063751E+04  0.81028514E-12
  0.12614288E+04  0.78272665E-12
  0.13189950E+04  0.75517326E-12
  0.13791882E+04  0.72766790E-12
  0.14421284E+04  0.70025289E-12
  0.15079409E+04  0.67296774E-12
  0.15767568E+04  0.64586641E-12
  0.16487131E+04  0.61899452E-12
  0.17239533E+04  0.59237192E-12
  0.18026270E+04  0.56603916E-12
  0.18848911E+04  0.54005570E-12
  0.19709094E+04  0.51447819E-12
  0.20608532E+04  0.48931915E-12
  0.21549016E+04  0.46460300E-12
  0.22532420E+04  0.44039440E-12
  0.23560703E+04  0.41672040E-12
  0.24635911E+04  0.39363485E-12
  0.25760188E+04  0.37116458E-12
  0.26935771E+04  0.34930371E-12
  0.28165003E+04  0.32811696E-12
  0.29450332E+04  0.30762324E-12
  0.30794318E+04  0.28784313E-12
  0.32199637E+04  0.26880654E-12
  0.33669090E+04  0.25052430E-12
  0.35205601E+04  0.23300407E-12
  0.36812233E+04  0.21626125E-12
  0.38492184E+04  0.20030640E-12
  0.40248800E+04  0.18513606E-12
  0.42085582E+04  0.17075416E-12
  0.44006186E+04  0.15715016E-12
  0.46014438E+04  0.14431873E-12
  0.48114338E+04  0.13225184E-12
  0.50310068E+04  0.12092934E-12
  0.52606002E+04  0.11033452E-12
  0.55006712E+04  0.10044541E-12
  0.57516981E+04  0.91241942E-13
  0.60141807E+04  0.82697545E-13
  0.62886419E+04  0.74787869E-13
  0.65756283E+04  0.67484251E-13
  0.68757115E+04  0.60759020E-13
  0.71894893E+04  0.54581532E-13
  0.75175865E+04  0.48921416E-13
  0.78606566E+04  0.43750333E-13
  0.82193830E+04  0.39038556E-13
  0.85944801E+04  0.34757520E-13
  0.89866950E+04  0.30878000E-13
  0.93968089E+04  0.27372501E-13
  0.98256386E+04  0.24210789E-13
  0.10274038E+05  0.21366636E-13
  0.10742901E+05  0.18815812E-13
  0.11233160E+05  0.16534136E-13
  0.11745793E+05  0.14498144E-13
  0.12281820E+05  0.12688512E-13
  0.12842310E+05  0.11079695E-13
  0.13428377E+05  0.96539721E-14
  0.14041190E+05  0.83943548E-14
  0.14681969E+05  0.72838195E-14
  0.15351991E+05  0.63080957E-14
  0.16052589E+05  0.54519316E-14
  0.16785160E+05  0.47049850E-14
  0.17551162E+05  0.40502867E-14
  0.18352121E+05  0.34798797E-14
